production_lot_id,production_date,factory_id,line_id,product_id,production_qty,pass_qty,started_qty,completed_qty,first_pass_pass_qty,fail_qty,rework_qty,scrap_qty
PLOT-00000001,2026-01-01,FAC-TW,LINE-TW-01,PROD-C100,35,34,35,35,34,1,1,0
PLOT-00000002,2026-01-01,FAC-TW,LINE-TW-02,PROD-C100,42,41,42,42,41,1,0,0
PLOT-00000003,2026-01-01,FAC-MX,LINE-MX-01,PROD-X100,38,37,38,38,37,1,0,0
PLOT-00000004,2026-01-01,FAC-MX,LINE-MX-02,PROD-X200,52,49,52,52,49,3,2,0
PLOT-00000005,2026-01-01,FAC-MY,LINE-MY-01,PROD-X100,48,47,48,48,47,1,1,0
PLOT-00000006,2026-01-02,FAC-TW,LINE-TW-01,PROD-X100,37,36,37,37,36,1,0,0
PLOT-00000007,2026-01-02,FAC-TW,LINE-TW-02,PROD-X100,51,50,51,51,50,1,1,0
PLOT-00000008,2026-01-02,FAC-MX,LINE-MX-01,PROD-X200,52,52,52,52,52,0,0,0
PLOT-00000009,2026-01-02,FAC-MX,LINE-MX-02,PROD-X100,55,53,55,55,53,2,2,0
PLOT-00000010,2026-01-02,FAC-MY,LINE-MY-01,PROD-N100,48,47,48,48,47,1,1,0
PLOT-00000011,2026-01-03,FAC-TW,LINE-TW-01,PROD-X100,53,51,53,53,51,2,1,0
PLOT-00000012,2026-01-03,FAC-TW,LINE-TW-02,PROD-X100,35,35,35,35,35,0,0,0
PLOT-00000013,2026-01-03,FAC-MX,LINE-MX-01,PROD-C100,40,37,40,40,37,3,1,0
PLOT-00000014,2026-01-03,FAC-MX,LINE-MX-02,PROD-C100,45,44,45,45,44,1,0,1
PLOT-00000015,2026-01-03,FAC-MY,LINE-MY-01,PROD-X200,41,40,41,41,40,1,0,1
PLOT-00000016,2026-01-04,FAC-TW,LINE-TW-01,PROD-S100,45,43,45,45,43,2,2,0
PLOT-00000017,2026-01-04,FAC-TW,LINE-TW-02,PROD-X100,47,46,47,47,46,1,1,0
PLOT-00000018,2026-01-04,FAC-MX,LINE-MX-01,PROD-X100,46,44,46,46,44,2,1,0
PLOT-00000019,2026-01-04,FAC-MX,LINE-MX-02,PROD-X200,36,36,36,36,36,0,0,0
PLOT-00000020,2026-01-04,FAC-MY,LINE-MY-01,PROD-N100,52,51,52,52,51,1,0,0
PLOT-00000021,2026-01-05,FAC-TW,LINE-TW-01,PROD-X100,47,46,47,47,46,1,0,0
PLOT-00000022,2026-01-05,FAC-TW,LINE-TW-02,PROD-X100,44,44,44,44,44,0,0,0
PLOT-00000023,2026-01-05,FAC-MX,LINE-MX-01,PROD-N100,54,50,54,54,50,4,3,0
PLOT-00000024,2026-01-05,FAC-MX,LINE-MX-02,PROD-N100,46,43,46,46,43,3,1,0
PLOT-00000025,2026-01-05,FAC-MY,LINE-MY-01,PROD-C100,37,36,37,37,36,1,1,0
PLOT-00000026,2026-01-06,FAC-TW,LINE-TW-01,PROD-X100,42,42,42,42,42,0,0,0
PLOT-00000027,2026-01-06,FAC-TW,LINE-TW-02,PROD-N100,37,36,37,37,36,1,1,0
PLOT-00000028,2026-01-06,FAC-MX,LINE-MX-01,PROD-N100,38,38,38,38,38,0,0,0
PLOT-00000029,2026-01-06,FAC-MX,LINE-MX-02,PROD-X100,49,47,49,49,47,2,1,0
PLOT-00000030,2026-01-06,FAC-MY,LINE-MY-01,PROD-N100,46,43,46,46,43,3,2,0
PLOT-00000031,2026-01-07,FAC-TW,LINE-TW-01,PROD-X100,46,46,46,46,46,0,0,0
PLOT-00000032,2026-01-07,FAC-TW,LINE-TW-02,PROD-X100,43,43,43,43,43,0,0,0
PLOT-00000033,2026-01-07,FAC-MX,LINE-MX-01,PROD-C100,55,53,55,55,53,2,0,0
PLOT-00000034,2026-01-07,FAC-MX,LINE-MX-02,PROD-X100,55,52,55,55,52,3,3,0
PLOT-00000035,2026-01-07,FAC-MY,LINE-MY-01,PROD-X100,42,42,42,42,42,0,0,0
PLOT-00000036,2026-01-08,FAC-TW,LINE-TW-01,PROD-X100,47,47,47,47,47,0,0,0
PLOT-00000037,2026-01-08,FAC-TW,LINE-TW-02,PROD-X100,55,52,55,55,52,3,2,0
PLOT-00000038,2026-01-08,FAC-MX,LINE-MX-01,PROD-C100,42,39,42,42,39,3,2,0
PLOT-00000039,2026-01-08,FAC-MX,LINE-MX-02,PROD-C100,36,35,36,36,35,1,1,0
PLOT-00000040,2026-01-08,FAC-MY,LINE-MY-01,PROD-X100,36,36,36,36,36,0,0,0
PLOT-00000041,2026-01-09,FAC-TW,LINE-TW-01,PROD-N100,47,45,47,47,45,2,0,1
PLOT-00000042,2026-01-09,FAC-TW,LINE-TW-02,PROD-X100,41,39,41,41,39,2,2,0
PLOT-00000043,2026-01-09,FAC-MX,LINE-MX-01,PROD-S100,53,51,53,53,51,2,1,0
PLOT-00000044,2026-01-09,FAC-MX,LINE-MX-02,PROD-N100,45,42,45,45,42,3,3,0
PLOT-00000045,2026-01-09,FAC-MY,LINE-MY-01,PROD-X100,50,49,50,50,49,1,1,0
PLOT-00000046,2026-01-10,FAC-TW,LINE-TW-01,PROD-X200,55,54,55,55,54,1,0,1
PLOT-00000047,2026-01-10,FAC-TW,LINE-TW-02,PROD-X200,43,43,43,43,43,0,0,0
PLOT-00000048,2026-01-10,FAC-MX,LINE-MX-01,PROD-X100,52,50,52,52,50,2,1,1
PLOT-00000049,2026-01-10,FAC-MX,LINE-MX-02,PROD-X200,53,51,53,53,51,2,1,0
PLOT-00000050,2026-01-10,FAC-MY,LINE-MY-01,PROD-C100,53,52,53,53,52,1,0,0
PLOT-00000051,2026-01-11,FAC-TW,LINE-TW-01,PROD-X200,42,40,42,42,40,2,1,0
PLOT-00000052,2026-01-11,FAC-TW,LINE-TW-02,PROD-S100,39,39,39,39,39,0,0,0
PLOT-00000053,2026-01-11,FAC-MX,LINE-MX-01,PROD-X200,37,36,37,37,36,1,1,0
PLOT-00000054,2026-01-11,FAC-MX,LINE-MX-02,PROD-C100,38,35,38,38,35,3,1,1
PLOT-00000055,2026-01-11,FAC-MY,LINE-MY-01,PROD-X100,40,39,40,40,39,1,0,0
PLOT-00000056,2026-01-12,FAC-TW,LINE-TW-01,PROD-N100,48,48,48,48,48,0,0,0
PLOT-00000057,2026-01-12,FAC-TW,LINE-TW-02,PROD-C100,47,46,47,47,46,1,0,0
PLOT-00000058,2026-01-12,FAC-MX,LINE-MX-01,PROD-X100,49,46,49,49,46,3,1,1
PLOT-00000059,2026-01-12,FAC-MX,LINE-MX-02,PROD-X200,52,50,52,52,50,2,1,0
PLOT-00000060,2026-01-12,FAC-MY,LINE-MY-01,PROD-S100,35,35,35,35,35,0,0,0
PLOT-00000061,2026-01-13,FAC-TW,LINE-TW-01,PROD-C100,38,38,38,38,38,0,0,0
PLOT-00000062,2026-01-13,FAC-TW,LINE-TW-02,PROD-C100,52,51,52,52,51,1,0,1
PLOT-00000063,2026-01-13,FAC-MX,LINE-MX-01,PROD-C100,55,54,55,55,54,1,1,0
PLOT-00000064,2026-01-13,FAC-MX,LINE-MX-02,PROD-X100,44,43,44,44,43,1,1,0
PLOT-00000065,2026-01-13,FAC-MY,LINE-MY-01,PROD-C100,49,49,49,49,49,0,0,0
PLOT-00000066,2026-01-14,FAC-TW,LINE-TW-01,PROD-X100,43,43,43,43,43,0,0,0
PLOT-00000067,2026-01-14,FAC-TW,LINE-TW-02,PROD-S100,40,39,40,40,39,1,0,0
PLOT-00000068,2026-01-14,FAC-MX,LINE-MX-01,PROD-X200,38,36,38,38,36,2,1,1
PLOT-00000069,2026-01-14,FAC-MX,LINE-MX-02,PROD-N100,44,43,44,44,43,1,0,0
PLOT-00000070,2026-01-14,FAC-MY,LINE-MY-01,PROD-S100,51,49,51,51,49,2,1,0
PLOT-00000071,2026-01-15,FAC-TW,LINE-TW-01,PROD-C100,39,39,39,39,39,0,0,0
PLOT-00000072,2026-01-15,FAC-TW,LINE-TW-02,PROD-X200,40,39,40,40,39,1,0,0
PLOT-00000073,2026-01-15,FAC-MX,LINE-MX-01,PROD-X200,51,50,51,51,50,1,1,0
PLOT-00000074,2026-01-15,FAC-MX,LINE-MX-02,PROD-S100,54,52,54,54,52,2,2,0
PLOT-00000075,2026-01-15,FAC-MY,LINE-MY-01,PROD-X200,35,34,35,35,34,1,1,0
PLOT-00000076,2026-01-16,FAC-TW,LINE-TW-01,PROD-X100,46,46,46,46,46,0,0,0
PLOT-00000077,2026-01-16,FAC-TW,LINE-TW-02,PROD-N100,44,42,44,44,42,2,0,0
PLOT-00000078,2026-01-16,FAC-MX,LINE-MX-01,PROD-X100,42,42,42,42,42,0,0,0
PLOT-00000079,2026-01-16,FAC-MX,LINE-MX-02,PROD-N100,37,36,37,37,36,1,0,0
PLOT-00000080,2026-01-16,FAC-MY,LINE-MY-01,PROD-X100,50,49,50,50,49,1,1,0
PLOT-00000081,2026-01-17,FAC-TW,LINE-TW-01,PROD-N100,52,51,52,52,51,1,0,0
PLOT-00000082,2026-01-17,FAC-TW,LINE-TW-02,PROD-N100,39,38,39,39,38,1,0,0
PLOT-00000083,2026-01-17,FAC-MX,LINE-MX-01,PROD-X200,52,47,52,52,47,5,1,1
PLOT-00000084,2026-01-17,FAC-MX,LINE-MX-02,PROD-X100,51,49,51,51,49,2,2,0
PLOT-00000085,2026-01-17,FAC-MY,LINE-MY-01,PROD-S100,48,44,48,48,44,4,3,0
PLOT-00000086,2026-01-18,FAC-TW,LINE-TW-01,PROD-S100,52,51,52,52,51,1,1,0
PLOT-00000087,2026-01-18,FAC-TW,LINE-TW-02,PROD-N100,41,39,41,41,39,2,1,0
PLOT-00000088,2026-01-18,FAC-MX,LINE-MX-01,PROD-C100,47,43,47,47,43,4,3,1
PLOT-00000089,2026-01-18,FAC-MX,LINE-MX-02,PROD-S100,55,52,55,55,52,3,2,0
PLOT-00000090,2026-01-18,FAC-MY,LINE-MY-01,PROD-X200,51,49,51,51,49,2,0,1
PLOT-00000091,2026-01-19,FAC-TW,LINE-TW-01,PROD-X200,42,40,42,42,40,2,2,0
PLOT-00000092,2026-01-19,FAC-TW,LINE-TW-02,PROD-X100,45,43,45,45,43,2,1,0
PLOT-00000093,2026-01-19,FAC-MX,LINE-MX-01,PROD-X100,52,51,52,52,51,1,1,0
PLOT-00000094,2026-01-19,FAC-MX,LINE-MX-02,PROD-X100,42,40,42,42,40,2,2,0
PLOT-00000095,2026-01-19,FAC-MY,LINE-MY-01,PROD-X100,55,53,55,55,53,2,2,0
PLOT-00000096,2026-01-20,FAC-TW,LINE-TW-01,PROD-X100,37,36,37,37,36,1,0,0
PLOT-00000097,2026-01-20,FAC-TW,LINE-TW-02,PROD-S100,45,45,45,45,45,0,0,0
PLOT-00000098,2026-01-20,FAC-MX,LINE-MX-01,PROD-X100,42,42,42,42,42,0,0,0
PLOT-00000099,2026-01-20,FAC-MX,LINE-MX-02,PROD-X100,50,47,50,50,47,3,2,0
PLOT-00000100,2026-01-20,FAC-MY,LINE-MY-01,PROD-X100,39,39,39,39,39,0,0,0
PLOT-00000101,2026-01-21,FAC-TW,LINE-TW-01,PROD-C100,53,52,53,53,52,1,1,0
PLOT-00000102,2026-01-21,FAC-TW,LINE-TW-02,PROD-C100,42,40,42,42,40,2,2,0
PLOT-00000103,2026-01-21,FAC-MX,LINE-MX-01,PROD-N100,48,46,48,48,46,2,2,0
PLOT-00000104,2026-01-21,FAC-MX,LINE-MX-02,PROD-X100,38,37,38,38,37,1,0,1
PLOT-00000105,2026-01-21,FAC-MY,LINE-MY-01,PROD-N100,46,43,46,46,43,3,1,0
PLOT-00000106,2026-01-22,FAC-TW,LINE-TW-01,PROD-X200,49,46,49,49,46,3,2,0
PLOT-00000107,2026-01-22,FAC-TW,LINE-TW-02,PROD-N100,36,35,36,36,35,1,1,0
PLOT-00000108,2026-01-22,FAC-MX,LINE-MX-01,PROD-X200,55,54,55,55,54,1,0,1
PLOT-00000109,2026-01-22,FAC-MX,LINE-MX-02,PROD-X100,47,47,47,47,47,0,0,0
PLOT-00000110,2026-01-22,FAC-MY,LINE-MY-01,PROD-N100,38,37,38,38,37,1,0,0
PLOT-00000111,2026-01-23,FAC-TW,LINE-TW-01,PROD-X100,41,39,41,41,39,2,1,0
