quality_event_id,event_date,event_timestamp,production_lot_id,factory_id,line_id,product_id,component_id,supplier_id,component_lot_id,defect_id,inspection_stage,event_quantity,is_first_pass_failure,is_rework,is_scrap,disposition
QEV-000000001,2026-01-01,2026-01-01T12:00:00,PLOT-00000001,FAC-TW,LINE-TW-01,PROD-C100,COMP-MAIN,SUP-A,CLOT-A-AIN-20260101,DEF-FUNC,test,1,True,True,False,rework
QEV-000000002,2026-01-01,2026-01-01T12:00:00,PLOT-00000002,FAC-TW,LINE-TW-02,PROD-C100,COMP-PWR,SUP-F,CLOT-F-PWR-20260101,DEF-VOLT,test,1,True,False,False,fail
QEV-000000003,2026-01-01,2026-01-01T12:00:00,PLOT-00000003,FAC-MX,LINE-MX-01,PROD-X100,COMP-STOR,SUP-B,CLOT-B-TOR-20260101,DEF-CONN,in_process,1,True,False,False,fail
QEV-000000004,2026-01-01,2026-01-01T12:00:00,PLOT-00000004,FAC-MX,LINE-MX-02,PROD-X200,COMP-NET,SUP-B,CLOT-B-NET-20260101,DEF-ASSY,in_process,1,True,False,False,fail
QEV-000000005,2026-01-01,2026-01-01T12:00:00,PLOT-00000004,FAC-MX,LINE-MX-02,PROD-X200,COMP-PWR,SUP-A,CLOT-A-PWR-20260101,DEF-FUNC,test,1,True,True,False,rework
QEV-000000006,2026-01-01,2026-01-01T12:00:00,PLOT-00000004,FAC-MX,LINE-MX-02,PROD-X200,COMP-PWR,SUP-E,CLOT-E-PWR-20260101,DEF-FUNC,test,1,True,True,False,rework
QEV-000000007,2026-01-01,2026-01-01T12:00:00,PLOT-00000005,FAC-MY,LINE-MY-01,PROD-X100,COMP-NET,SUP-E,CLOT-E-NET-20260101,DEF-FUNC,test,1,True,True,False,rework
QEV-000000008,2026-01-02,2026-01-02T12:00:00,PLOT-00000006,FAC-TW,LINE-TW-01,PROD-X100,COMP-MAIN,SUP-H,CLOT-H-AIN-20260102,DEF-FUNC,test,1,True,False,False,fail
QEV-000000009,2026-01-02,2026-01-02T12:00:00,PLOT-00000007,FAC-TW,LINE-TW-02,PROD-X100,COMP-COOL,SUP-B,CLOT-B-OOL-20260102,DEF-THERM,test,1,True,True,False,rework
QEV-000000010,2026-01-02,2026-01-02T12:00:00,PLOT-00000009,FAC-MX,LINE-MX-02,PROD-X100,COMP-MAIN,SUP-H,CLOT-H-AIN-20260102,DEF-VOLT,test,1,True,True,False,rework
QEV-000000011,2026-01-02,2026-01-02T12:00:00,PLOT-00000009,FAC-MX,LINE-MX-02,PROD-X100,COMP-MEM,SUP-A,CLOT-A-MEM-20260102,DEF-MEM,test,1,True,True,False,rework
QEV-000000012,2026-01-02,2026-01-02T12:00:00,PLOT-00000010,FAC-MY,LINE-MY-01,PROD-N100,COMP-NET,SUP-D,CLOT-D-NET-20260102,DEF-ASSY,in_process,1,True,True,False,rework
QEV-000000013,2026-01-03,2026-01-03T12:00:00,PLOT-00000011,FAC-TW,LINE-TW-01,PROD-X100,COMP-MEM,SUP-A,CLOT-A-MEM-20260103,DEF-MEM,test,1,True,False,False,fail
QEV-000000014,2026-01-03,2026-01-03T12:00:00,PLOT-00000011,FAC-TW,LINE-TW-01,PROD-X100,COMP-STOR,SUP-E,CLOT-E-TOR-20260103,DEF-ASSY,in_process,1,True,True,False,rework
QEV-000000015,2026-01-03,2026-01-03T12:00:00,PLOT-00000013,FAC-MX,LINE-MX-01,PROD-C100,COMP-COOL,SUP-B,CLOT-B-OOL-20260103,DEF-THERM,test,1,True,False,False,fail
QEV-000000016,2026-01-03,2026-01-03T12:00:00,PLOT-00000013,FAC-MX,LINE-MX-01,PROD-C100,COMP-COOL,SUP-F,CLOT-F-OOL-20260103,DEF-THERM,test,1,True,True,False,rework
QEV-000000017,2026-01-03,2026-01-03T12:00:00,PLOT-00000013,FAC-MX,LINE-MX-01,PROD-C100,COMP-MEM,SUP-C,CLOT-C-MEM-20260103,DEF-CONN,in_process,1,True,False,False,fail
QEV-000000018,2026-01-03,2026-01-03T12:00:00,PLOT-00000014,FAC-MX,LINE-MX-02,PROD-C100,COMP-MEM,SUP-C,CLOT-C-MEM-20260103,DEF-MEM,test,1,True,False,True,scrap
QEV-000000019,2026-01-03,2026-01-03T12:00:00,PLOT-00000015,FAC-MY,LINE-MY-01,PROD-X200,COMP-PWR,SUP-H,CLOT-H-PWR-20260103,DEF-VOLT,test,1,True,False,True,scrap
QEV-000000020,2026-01-04,2026-01-04T12:00:00,PLOT-00000016,FAC-TW,LINE-TW-01,PROD-S100,COMP-MAIN,SUP-C,CLOT-C-AIN-20260104,DEF-VOLT,test,1,True,True,False,rework
QEV-000000021,2026-01-04,2026-01-04T12:00:00,PLOT-00000016,FAC-TW,LINE-TW-01,PROD-S100,COMP-PWR,SUP-A,CLOT-A-PWR-20260104,DEF-CONN,in_process,1,True,True,False,rework
QEV-000000022,2026-01-04,2026-01-04T12:00:00,PLOT-00000017,FAC-TW,LINE-TW-02,PROD-X100,COMP-STOR,SUP-A,CLOT-A-TOR-20260104,DEF-CONN,in_process,1,True,True,False,rework
QEV-000000023,2026-01-04,2026-01-04T12:00:00,PLOT-00000018,FAC-MX,LINE-MX-01,PROD-X100,COMP-PWR,SUP-F,CLOT-F-PWR-20260104,DEF-FUNC,test,1,True,False,False,fail
QEV-000000024,2026-01-04,2026-01-04T12:00:00,PLOT-00000018,FAC-MX,LINE-MX-01,PROD-X100,COMP-STOR,SUP-D,CLOT-D-TOR-20260104,DEF-FUNC,test,1,True,True,False,rework
QEV-000000025,2026-01-04,2026-01-04T12:00:00,PLOT-00000020,FAC-MY,LINE-MY-01,PROD-N100,COMP-PWR,SUP-B,CLOT-B-PWR-20260104,DEF-VOLT,test,1,True,False,False,fail
QEV-000000026,2026-01-05,2026-01-05T12:00:00,PLOT-00000021,FAC-TW,LINE-TW-01,PROD-X100,COMP-NET,SUP-B,CLOT-B-NET-20260105,DEF-CONN,in_process,1,True,False,False,fail
QEV-000000027,2026-01-05,2026-01-05T12:00:00,PLOT-00000023,FAC-MX,LINE-MX-01,PROD-N100,COMP-COOL,SUP-C,CLOT-C-OOL-20260105,DEF-FUNC,test,1,True,True,False,rework
QEV-000000028,2026-01-05,2026-01-05T12:00:00,PLOT-00000023,FAC-MX,LINE-MX-01,PROD-N100,COMP-MAIN,SUP-A,CLOT-A-AIN-20260105,DEF-FUNC,test,1,True,True,False,rework
QEV-000000029,2026-01-05,2026-01-05T12:00:00,PLOT-00000023,FAC-MX,LINE-MX-01,PROD-N100,COMP-NET,SUP-B,CLOT-B-NET-20260105,DEF-CONN,in_process,1,True,False,False,fail
QEV-000000030,2026-01-05,2026-01-05T12:00:00,PLOT-00000023,FAC-MX,LINE-MX-01,PROD-N100,COMP-STOR,SUP-D,CLOT-D-TOR-20260105,DEF-FUNC,test,1,True,True,False,rework
QEV-000000031,2026-01-05,2026-01-05T12:00:00,PLOT-00000024,FAC-MX,LINE-MX-02,PROD-N100,COMP-MEM,SUP-F,CLOT-F-MEM-20260105,DEF-MEM,test,1,True,False,False,fail
QEV-000000032,2026-01-05,2026-01-05T12:00:00,PLOT-00000024,FAC-MX,LINE-MX-02,PROD-N100,COMP-PWR,SUP-B,CLOT-B-PWR-20260105,DEF-VOLT,test,1,True,True,False,rework
QEV-000000033,2026-01-05,2026-01-05T12:00:00,PLOT-00000024,FAC-MX,LINE-MX-02,PROD-N100,COMP-STOR,SUP-B,CLOT-B-TOR-20260105,DEF-CONN,in_process,1,True,False,False,fail
QEV-000000034,2026-01-05,2026-01-05T12:00:00,PLOT-00000025,FAC-MY,LINE-MY-01,PROD-C100,COMP-MAIN,SUP-B,CLOT-B-AIN-20260105,DEF-FUNC,test,1,True,True,False,rework
QEV-000000035,2026-01-06,2026-01-06T12:00:00,PLOT-00000027,FAC-TW,LINE-TW-02,PROD-N100,COMP-MAIN,SUP-F,CLOT-F-AIN-20260106,DEF-FUNC,test,1,True,True,False,rework
QEV-000000036,2026-01-06,2026-01-06T12:00:00,PLOT-00000029,FAC-MX,LINE-MX-02,PROD-X100,COMP-MAIN,SUP-C,CLOT-C-AIN-20260106,DEF-FUNC,test,1,True,False,False,fail
QEV-000000037,2026-01-06,2026-01-06T12:00:00,PLOT-00000029,FAC-MX,LINE-MX-02,PROD-X100,COMP-MAIN,SUP-C,CLOT-C-AIN-20260106,DEF-VOLT,test,1,True,True,False,rework
QEV-000000038,2026-01-06,2026-01-06T12:00:00,PLOT-00000030,FAC-MY,LINE-MY-01,PROD-N100,COMP-MAIN,SUP-D,CLOT-D-AIN-20260106,DEF-FUNC,test,1,True,False,False,fail
QEV-000000039,2026-01-06,2026-01-06T12:00:00,PLOT-00000030,FAC-MY,LINE-MY-01,PROD-N100,COMP-STOR,SUP-C,CLOT-C-TOR-20260106,DEF-FUNC,test,1,True,True,False,rework
QEV-000000040,2026-01-06,2026-01-06T12:00:00,PLOT-00000030,FAC-MY,LINE-MY-01,PROD-N100,COMP-STOR,SUP-D,CLOT-D-TOR-20260106,DEF-FUNC,test,1,True,True,False,rework
QEV-000000041,2026-01-07,2026-01-07T12:00:00,PLOT-00000033,FAC-MX,LINE-MX-01,PROD-C100,COMP-MAIN,SUP-A,CLOT-A-AIN-20260107,DEF-FUNC,test,1,True,False,False,fail
QEV-000000042,2026-01-07,2026-01-07T12:00:00,PLOT-00000033,FAC-MX,LINE-MX-01,PROD-C100,COMP-MAIN,SUP-C,CLOT-C-AIN-20260107,DEF-FUNC,test,1,True,False,False,fail
QEV-000000043,2026-01-07,2026-01-07T12:00:00,PLOT-00000034,FAC-MX,LINE-MX-02,PROD-X100,COMP-MAIN,SUP-F,CLOT-F-AIN-20260107,DEF-VOLT,test,1,True,True,False,rework
QEV-000000044,2026-01-07,2026-01-07T12:00:00,PLOT-00000034,FAC-MX,LINE-MX-02,PROD-X100,COMP-MEM,SUP-G,CLOT-G-MEM-20260107,DEF-CONN,in_process,1,True,True,False,rework
QEV-000000045,2026-01-07,2026-01-07T12:00:00,PLOT-00000034,FAC-MX,LINE-MX-02,PROD-X100,COMP-STOR,SUP-F,CLOT-F-TOR-20260107,DEF-CONN,in_process,1,True,True,False,rework
QEV-000000046,2026-01-08,2026-01-08T12:00:00,PLOT-00000037,FAC-TW,LINE-TW-02,PROD-X100,COMP-MAIN,SUP-G,CLOT-G-AIN-20260108,DEF-FUNC,test,1,True,True,False,rework
QEV-000000047,2026-01-08,2026-01-08T12:00:00,PLOT-00000037,FAC-TW,LINE-TW-02,PROD-X100,COMP-MEM,SUP-A,CLOT-A-MEM-20260108,DEF-FUNC,test,1,True,False,False,fail
QEV-000000048,2026-01-08,2026-01-08T12:00:00,PLOT-00000037,FAC-TW,LINE-TW-02,PROD-X100,COMP-STOR,SUP-C,CLOT-C-TOR-20260108,DEF-ASSY,in_process,1,True,True,False,rework
QEV-000000049,2026-01-08,2026-01-08T12:00:00,PLOT-00000038,FAC-MX,LINE-MX-01,PROD-C100,COMP-MAIN,SUP-H,CLOT-H-AIN-20260108,DEF-VOLT,test,1,True,False,False,fail
QEV-000000050,2026-01-08,2026-01-08T12:00:00,PLOT-00000038,FAC-MX,LINE-MX-01,PROD-C100,COMP-PWR,SUP-G,CLOT-G-PWR-20260108,DEF-VOLT,test,1,True,True,False,rework
QEV-000000051,2026-01-08,2026-01-08T12:00:00,PLOT-00000038,FAC-MX,LINE-MX-01,PROD-C100,COMP-STOR,SUP-D,CLOT-D-TOR-20260108,DEF-CONN,in_process,1,True,True,False,rework
